carID,price
13207,31995
17314,7700
12342,58990
13426,12999
16004,16990
18964,40890
17053,25990
19021,41980
17429,25490
16726,3491
17081,13750
18995,17999
13055,46050
12510,20498
13430,22750
19049,16000
17822,6890
16655,31269
18480,25998
16270,17999
14435,37500
13161,4995
12817,17950
12857,13495
13738,5475
18374,23000
13105,18640
15122,41606
17363,10498
16597,12912
15848,20399
15114,20999
13714,21998
14648,49950
13750,18995
13995,16490
15017,11850
14255,26090
18540,15650
13827,17800
12626,17590
17894,14495
16871,42995
13987,49991
14061,21498
12573,7724
15725,12995
15629,29990
18127,29998
13957,50786
13304,19948
12774,12990
12733,16999
19535,34390
12144,27500
16299,27498
13920,22490
19103,5475
17287,18995
17146,12998
18095,12298
18554,20995
12271,18690
16431,6790
18935,15999
12864,5990
19110,20000
18626,20950
14590,7795
18512,22000
14983,6775
18999,9995
15719,19999
15162,49980
18468,15998
17832,25998
13321,18390
15401,24945
16001,20500
13112,14998
12567,57870
12366,46980
17137,9498
12304,13965
15538,27890
14711,6795
14728,13400
18636,24295
17353,22290
18198,16000
16125,17200
16182,12000
14106,42489
12516,7450
15589,23795
17108,36790
15995,19199
17306,27000
15389,17000
17200,5995
16250,15599
17633,26000
12751,30995
16375,52888
14138,20499
19006,9999
13168,4495
12962,10000
13937,11500
14085,15979
14766,17100
14970,10275
18264,15298
16053,51402
14282,69994
17578,16459
12959,3595
14635,23995
15032,22999
19005,18500
13177,19952
18255,8850
14720,25000
17624,16250
14174,17958
13816,16990
19544,14498
19165,37790
16138,17898
16606,13490
13514,16781
15644,33990
16918,13300
18085,135124
13226,33290
16908,5995
14628,33450
12058,24000
16049,18500
14951,15495
17375,46000
17153,17299
15618,16799
12237,13650
15590,24500
16631,19200
13486,20795
12712,12998
19392,16299
16328,17495
12198,76970
18013,24690
15711,19899
18094,11000
17638,30700
16418,11795
17341,19990
12466,34399
18571,15199
16449,7280
19133,48000
18228,21495
14031,14075
14233,19500
15137,47890
16284,29399
15868,11999
17964,7495
13289,19750
19266,46795
19588,27994
14704,17999
17741,17500
17237,11891
17034,14990
12856,17995
19143,32970
14566,53990
17941,9185
12741,17900
13910,12498
18166,9475
12679,13995
17823,25390
12616,17000
14906,23994
19480,38343
12404,21150
14654,8485
12051,28995
16714,26999
19494,20480
17444,22000
16879,8299
17522,6985
18082,17390
19058,14800
16026,16490
13200,4650
13675,8189
12640,10499
12978,20842
14076,109995
14577,39480
13575,15990
18682,52700
18078,56000
18478,15999
19141,28675
16974,67989
16006,44950
12653,6688
16813,20750
16936,39950
14033,18998
18363,9240
16900,19999
18025,15990
13848,25460
16208,48995
13841,13490
14265,3990
18586,9500
12925,18999
18548,34000
12493,10400
18806,17995
14276,32000
18194,7990
17162,36999
18698,24998
12646,17000
18259,9499
16487,23995
17871,14500
12207,9795
14600,16299
15106,34900
16533,15940
19146,28990
18894,27900
13800,17750
18243,5300
15659,13750
18780,18000
18933,20000
14400,10941
13598,54900
16243,26922
19046,18150
14995,17990
16156,19995
12780,44990
17230,13998
19154,20950
17170,19498
14155,19495
17308,41999
13255,29998
14311,42460
19393,22990
12301,17650
18687,8790
17760,31888
14908,26995
13431,24990
18937,84496
18506,13981
19464,23400
14547,19490
16274,14500
15587,23000
16201,16991
15510,33791
17859,37980
14084,25995
12842,22795
18313,12295
13822,22000
13743,42490
15657,35480
13428,4391
16488,11998
17023,16495
15880,37991
16626,53995
18385,6995
19302,31720
19063,14999
16416,17995
19186,14382
12421,34950
15939,10712
14971,27450
16249,14972
16100,42900
14801,4500
18138,36950
17046,12995
12084,15490
18661,56400
17430,34000
16752,33999
19529,5495
15544,13522
12997,22511
15560,15495
16273,20000
13104,4995
16336,9000
15333,64999
18089,35995
17874,5666
19347,16250
17270,13000
14902,10480
15948,31999
18075,27990
16060,22500
18851,10995
18556,31000
15116,18490
12261,12490
18981,15990
17093,32995
14652,8990
16202,71995
18517,9490
16598,17995
16333,18000
16002,33000
18163,18500
12150,44500
12036,7995
19622,12998
13578,4990
15531,43495
14617,36980
14686,9475
12797,49499
15425,11000
12794,45990
16440,20500
13691,30580
15330,16725
18652,6998
12066,21591
18199,5945
18943,7050
15387,10698
19546,9660
17459,4998
17785,12370
15526,13500
14113,48995
14542,20995
14849,61797
17340,31723
17299,13300
16997,9625
14938,10495
15673,63806
19599,6190
16773,14750
16185,14750
18382,20999
16283,7298
18351,22000
12498,12298
12696,14795
15932,18498
12433,34495
13724,1985
17484,11180
19253,15995
