Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
70522,1054.957,368.15640352450674,244.52000893220978,1.505628946817901,0.7475777852045621,71668,299.65213026743714,0.7298827377071238,0.9840095998213987,0.79627846035644,0.8139261667018389,0.005220447569900269,0.0014132778227867464,0.6624758048419498,0.9974427483365261,BARBUNYA
70692,1006.43,378.57446626303476,238.1779057222376,1.5894608910724375,0.7772886563951982,71443,300.0130828754275,0.7878652787374897,0.9894881233990734,0.8770270431006105,0.7924810297876176,0.005355266030994098,0.0013029156858556418,0.6280261825732428,0.9982230557696878,BARBUNYA
67533,997.712,358.14630306287404,241.2795038815904,1.4843627299508908,0.7390142632005507,68874,293.2331600869856,0.7473771580345285,0.9805296628626187,0.8525414734752695,0.8187524416118497,0.005303278442581761,0.0014700585253890177,0.6703555606453655,0.9950508100373147,BARBUNYA
105542,1265.623,466.1359798509625,288.99934162159894,1.6129309403801246,0.7846102280606252,107112,366.5791156495942,0.7478883219954648,0.9853424452909104,0.8279926212395606,0.7864209833508249,0.004416592255698798,0.0010420473194899444,0.6184579630544783,0.997529983935036,BARBUNYA
67454,1014.6740000000001,343.9890328927647,249.9889963357216,1.376016696474137,0.6869175388649608,68666,293.0615980482016,0.7316766278703994,0.9823493431975068,0.8233121186309129,0.8519504112782593,0.005099609109804677,0.0016571961612789764,0.7258195032771952,0.9987397551359851,BARBUNYA
67718,1046.454,353.6277890315666,244.30698750039474,1.4474730856029863,0.7229893908401205,69018,293.6345270746881,0.7664568996740312,0.9811643339418702,0.7770942622430815,0.830349130306829,0.0052220648724351955,0.0015313165134509044,0.6894796782013074,0.9980032772666003,BARBUNYA
81020,1107.628,381.55145746249246,271.3382108100131,1.406184025181949,0.7030458989442214,82059,321.1819856630239,0.8040250873293109,0.9873383784837738,0.8298779991283288,0.8417789511250837,0.004709349018297858,0.001458588846778698,0.708591802557246,0.9964104731308812,BARBUNYA
57105,953.054,346.2734018078067,210.21898845092275,1.6472032538994301,0.7946333691868511,58126,269.644848276583,0.6960628961482204,0.9824347108006743,0.790039822959788,0.7787050546442054,0.0060638018003293355,0.0013753610953869443,0.606381562128435,0.9988336822425775,BARBUNYA
58851,931.858,324.48006739239685,231.75159018878244,1.4001201334932751,0.699916757874424,59915,273.7360415568419,0.7258297258297258,0.9822415088041392,0.8516560479435028,0.8436143512809687,0.005513586300868241,0.0017226211545844428,0.7116851736872097,0.9964447403881206,BARBUNYA
54522,897.406,340.0239168500328,204.4497627229209,1.6631171996557794,0.7990379952943767,55225,263.4759314587398,0.6904927749141981,0.9872702580353101,0.8507534221413572,0.7748747026373018,0.006236453483915351,0.0013868943564200639,0.600430804787247,0.998586798644832,BARBUNYA
71042,1038.418,375.6728603281153,241.15519671192882,1.5578053695308673,0.7667643210940039,71867,300.7548565477795,0.7195729681549308,0.9885204614078784,0.8279052339252505,0.8005764810508221,0.005288038911180925,0.001339941119515734,0.6409227020117173,0.9984328266480851,BARBUNYA
50166,893.8459999999999,313.0215817417072,204.6558145966169,1.529502508192512,0.7566610426343727,51209,252.73174513935555,0.762517099863201,0.9796324864769864,0.7890307627858147,0.8073939941556477,0.006239715778449692,0.0016356358799098183,0.65188506179861,0.9970598370742049,BARBUNYA
82845,1137.84,404.1093683898851,261.68924883306454,1.5442337436173104,0.7620056626572178,84027,324.779202048999,0.7576339542922989,0.9859330929344139,0.8041068693565584,0.8036913455954621,0.004877896896492065,0.0012553636411306657,0.6459197789850446,0.9974511183785411,BARBUNYA
75230,1074.138,403.38912907135284,238.4231268699039,1.6919043650134786,0.806634954524002,76174,309.49282859288724,0.6788179562373111,0.9876073200829679,0.8193713301247466,0.7672314554072752,0.005362078015038586,0.0011460893875402864,0.5886441061663659,0.995929532662332,BARBUNYA
64033,1005.3710000000001,354.12024394741184,230.90600983092068,1.5336120710184804,0.7581713413820981,65141,285.5334442198088,0.7687034813925571,0.9829907431571514,0.7960878684097706,0.8063177666346902,0.005530277262464851,0.0014419545945777304,0.6501483407907549,0.9970753433893385,BARBUNYA
